name, latitude, longitude, elevation, time, comment, symbol, description
DCRA03,-45.4566743199553,167.150440982702, None, None,A24, Navaid Blue, NEW
DCRA04,-45.4563038372896,167.150740011454, None, None,A24, Navaid Blue, NEW
DCRA05,-45.4558969291642,167.150701004825, None, None,A24, Navaid Blue, NEW
DCRA06,-45.4558743349165,167.150168636425, None, None,A24, Navaid Blue, NEW
DCRA07,-45.4563033911063,167.150036128453, None, None,A24, Navaid Blue, NEW
DCRA08,-45.4563843441196,167.149479474694, None, None,A24, Navaid Blue, NEW
DCRA09,-45.4567120619275,167.14921357693, None, None,A24, Navaid Blue, NEW
DCRA10,-45.4570816091841,167.148989088553, None, None,A24, Navaid Blue, NEW
DCRA11,-45.4574774416937,167.148812633395, None, None,A24, Navaid Blue, NEW
DCRA12,-45.4579038877923,167.148768373632, None, None,A24, Navaid Blue, NEW
DCRA13,-45.4582260506794,167.148548794957, None, None,A24, Navaid Blue, NEW
DCRA14,-45.4586406500823,167.148505761663, None, None,A24, Navaid Blue, NEW
DCRA15,-45.4592661453995,167.148626981666, None, None,A24, Navaid Blue, NEW
DCRA16,-45.459418944678,167.14905110226, None, None,A24, Navaid Blue, NEW
DCRA17,-45.4598124498667,167.149061028178, None, None,A24, Navaid Blue, NEW
DCRA18,-45.4601770068148,167.149666247233, None, None,A24, Navaid Blue, NEW
DCRA19,-45.4604453999293,167.149790697084, None, None,A24, Navaid Blue, NEW
DCRA20,-45.4608184074123,167.149633527288, None, None,A24, Navaid Blue, NEW
DCRA21,-45.461273735953,167.149687808155, None, None,A24, Navaid Blue, NEW
DCRA22,-45.4616681055075,167.149714570632, None, None,A24, Navaid Blue, NEW
DCRA23,-45.4621396062417,167.14985178966, None, None,A24, Navaid Blue, NEW
DCRA24,-45.462669203976,167.149729131203, None, None,A24, Navaid Blue, NEW
DCRA25,-45.4630915904564,167.149837603043, None, None,A24, Navaid Blue, NEW
DCRA26,-45.4633186564246,167.150084812149, None, None,A24, Navaid Blue, NEW
DCRA27,-45.4636762896448,167.150555403733, None, None,A24, Navaid Blue, NEW
DCRA28,-45.4640148188408,167.151349533368, None, None,A24, Navaid Blue, NEW
DCRA29,-45.4643227330156,167.152011458931, None, None,A24, Navaid Blue, NEW
DCRA30,-45.4640508030567,167.152513536507, None, None,A24, Navaid Blue, NEW
HF01,-45.4687285284106,167.165418274999, None, None,DOC150 Double, Navaid Red, NEW
HF02,-45.4674318137592,167.164283163328, None, None,DOC150 Double, Navaid Red, NEW
HF03,-45.4661503936462,167.163341482951, None, None,DOC150 Double, Navaid Red, NEW
HF04,-45.4663736161976,167.165237352473, None, None,DOC150 Double, Navaid Red, NEW
HF05,-45.4666634019308,167.167203107958, None, None,DOC150 Double, Navaid Red, NEW
HF06,-45.4650904463586,167.166547139514, None, None,DOC150 Double, Navaid Red, NEW
HF07,-45.4677422047273,167.167526439059, None, None,DOC150 Double, Navaid Red, NEW
HF08,-45.4678537452663,167.167770767339, None, None,DOC150 Double, Navaid Red, NEW
HF09,-45.468866257671,167.167678778205, None, None,DOC150 Double, Navaid Red, NEW
HF10,-45.4701949603491,167.167784353283, None, None,DOC150 Double, Navaid Red, NEW
HF11,-45.4715659441628,167.169945456857, None, None,DOC150 Double, Navaid Red, NEW
HF12,-45.4724970453948,167.169669997922, None, None,DOC150 Double, Navaid Red, NEW
HF13,-45.4723668038633,167.16832525562, None, None,DOC150 Double, Navaid Red, NEW
HF14,-45.4714574979119,167.166949992345, None, None,DOC150 Double, Navaid Red, NEW
L01,-45.486374,167.169442,141.43808,2021-03-01 19:50:49+00:00,DOC200, Pin Red,Line 8
L02,-45.486534,167.169273,151.237137,2021-03-01 19:52:43+00:00,A24, Pin Blue,Line 8
L03,-45.48672,167.169621,161.115799,2021-03-01 19:54:31+00:00,DOC200, Pin Red,Line 8
L04,-45.486963,167.169717,172.532318,2021-03-01 19:56:16+00:00,A24, Pin Blue,Line 8
L05,-45.487213,167.169619,182.108597,2021-03-01 19:58:01+00:00,DOC200, Pin Red,Line 8
L06,-45.487408,167.169713,194.696594,2021-03-01 20:00:03+00:00,A24, Pin Blue,Line 8
L07,-45.487654,167.169766,208.177719,2021-03-01 20:02:09+00:00,DOC200, Pin Red,Line 8
L08,-45.487747,167.169544,219.993988,2021-03-01 20:04:31+00:00,DOC200, Pin Red,Line 8
L09,-45.48811,167.16964,225.25238,2021-03-01 20:06:38+00:00,DOC200, Pin Red,Line 8
L10,-45.488375,167.1695,232.642471,2021-03-01 20:08:51+00:00,DOC200, Pin Red,Line 8
L11,-45.488586,167.169466,239.580872,2021-03-01 20:10:42+00:00,DOC200, Pin Red,Line 8
L12,-45.488782,167.169129,258.638214,2021-03-01 20:13:47+00:00,DOC200, Pin Red,Line 8
L13,-45.488966,167.168791,261.033783,2021-03-01 20:15:54+00:00, No Trap, Navaid Black,Line 8
L14,-45.489153,167.168562,268.1922,2021-03-01 20:17:30+00:00, No Trap, Navaid Black,Line 8
L15,-45.489259,167.168213,267.655457,2021-03-01 20:19:22+00:00, No Trap, Navaid Black,Line 8
L16,-45.489283,167.167782,266.150879,2021-03-01 22:32:51+00:00, No Trap, Navaid Black,Line 8
L17,-45.48913,167.167453,261.949615,2021-03-01 22:31:35+00:00, No Trap, Navaid Black,Line 8
L18,-45.489244,167.167018,247.168213,2021-03-01 22:29:03+00:00, No Trap, Navaid Black,Line 8
L19,-45.489073,167.166443,235.958786,2021-03-01 22:27:01+00:00, No Trap, Navaid Black,Line 8
L20,-45.489501,167.166076,239.098862,2021-03-01 22:24:32+00:00, No Trap, Navaid Black,Line 8
L21,-45.489671,167.165737,229.861191,2021-03-01 22:22:39+00:00, No Trap, Navaid Black,Line 8
L22,-45.489612,167.165397,214.654144,2021-03-01 22:20:26+00:00, No Trap, Navaid Black,Line 8
L23,-45.489474,167.164898,201.534988,2021-03-01 22:17:10+00:00, No Trap, Navaid Black,Line 8
L24,-45.489421,167.164246,201.410812,2021-03-01 22:15:26+00:00, No Trap, Navaid Black,Line 8
L25,-45.489634,167.164024,213.023804,2021-03-01 22:14:08+00:00, No Trap, Navaid Black,Line 8
L26,-45.490067,167.163833,224.00264,2021-03-01 22:12:29+00:00, No Trap, Navaid Black,Line 8
L27,-45.490746,167.163937,221.796295,2021-03-01 22:10:57+00:00, No Trap, Navaid Black,Line 8
L28,-45.491128,167.163578,223.989426,2021-03-01 22:09:07+00:00, No Trap, Navaid Black,Line 8
L29,-45.491252,167.163578,234.656464,2021-03-01 22:06:51+00:00, No Trap, Navaid Black,Line 8
L30,-45.49138,167.163368,235.531082,2021-03-01 22:04:38+00:00, No Trap, Navaid Black,Line 8
L31,-45.490778,167.162099,222.375717,2021-03-01 22:03:07+00:00, No Trap, Navaid Black,Line 8
L32,-45.490909,167.161715,226.960892,2021-03-01 21:56:17+00:00, No Trap, Navaid Black,Line 8
L33,-45.490895,167.161255,212.373352,2021-03-01 21:54:34+00:00, No Trap, Navaid Black,Line 8
L34,-45.490895,167.160731,207.577026,2021-03-01 21:53:31+00:00, No Trap, Navaid Black,Line 8
L35,-45.490985,167.160183,206.390717,2021-03-01 21:51:08+00:00, No Trap, Navaid Black,Line 8
ODS01,-45.485596253942,167.175269690413, None, None,DOC150 Double, Navaid Red, NEW
ODS02,-45.4840326555189,167.174672505791, None, None,DOC150 Double, Navaid Red, NEW
ODS03,-45.4830126778039,167.173211631811, None, None,DOC150 Double, Navaid Red, NEW
ODS04,-45.4822126536503,167.172548330101, None, None,DOC150 Double, Navaid Red, NEW
ODS05,-45.4814209006201,167.171167576502, None, None,DOC150 Double, Navaid Red, NEW
ODS06,-45.4798753030137,167.170746545611, None, None,DOC150 Double, Navaid Red, NEW
ODS07,-45.4785046823644,167.169488482693, None, None,DOC150 Double, Navaid Red, NEW
ODS08,-45.4771151121682,167.168950277963, None, None,DOC150 Double, Navaid Red, NEW
ODS09,-45.4770352539878,167.166829342474, None, None,DOC150 Double, Navaid Red, NEW
ODS11,-45.4739297001984,167.166234731161, None, None,DOC150 Double, Navaid Red, NEW
ODS12,-45.472061361898,167.164961905212, None, None,DOC150 Double, Navaid Red, NEW
TR01,-45.4710840097541,167.163246314981, None, None,DOC150 Double, Navaid Red, NEW
TR02,-45.4739833849772,167.166871514157, None, None,DOC150 Double, Navaid Red, NEW
TR03,-45.4754304602517,167.168617544701, None, None,DOC150 Double, Navaid Red, NEW
TR04,-45.4761466544262,167.16902363813, None, None,DOC150 Double, Navaid Red, NEW
TR05,-45.4694891904847,167.163568861592, None, None,DOC150 Double, Navaid Red, NEW
TR06,-45.4686026282966,167.162957021089, None, None,DOC150 Double, Navaid Red, NEW
